Date,Adress,Size,Rooms,Broker,Rent,Price
5 maj 2021,Nybodaringen 105,95,4,Bjurfors Liljeholmen Hägersten,5032,7400000
5 maj 2021,"Mörtvikskroken 15, 1tr",94,4,Notar,4718,8600000
5 maj 2021,Hammarögatan 7,94,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197,3350000
5 maj 2021,Hammarögatan 7,94,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197,3800000
4 maj 2021,Odelbergsvägen 36,94,4,Svensk Fastighetsförmedling Hammarbyhöjden,6347,7280000
4 maj 2021,Pilvingegatan 48,90,4,HusmanHagberg Enskede,5480,4250000
3 maj 2021,Hammarögatan 7,94,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197,3600000
3 maj 2021,Hammarögatan 7,94,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197,3500000
30 april 2021,Lillhagsvägen 22,90,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,6259,2950000
30 april 2021,Sandhamnsgatan 32,93,4,Svensk Fastighetsförmedling Sthlm Östermalm/Gärdet,4527,8600000
30 april 2021,Hammarögatan 7,94,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197,3500000
29 april 2021,Gullmarsvägen 64,90,3,Notar,4200,6100000
29 april 2021,Hammarögatan 7,94,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197,3650000
29 april 2021,Hammarögatan 7,94,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197,3700000
29 april 2021,Hammarögatan 7,94,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197,3650000
29 april 2021,Hammarögatan 7,94,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197,3450000
28 april 2021,Hammarögatan 7,94,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197,3550000
27 april 2021,Narviksgatan 17,91,4,Notar,6339,2900000
27 april 2021,"Maria Prästgårdsgata 26, 4 tr",94,3,Bjurfors Södermalm,3598,12100000
27 april 2021,"Inedalsgatan 23, 4 tr",94,3,Bjurfors Vasastan,4172,10800000
26 april 2021,Horisontvägen 75,90,4,Fastighetsbyrån Enskede,6217,3400000
26 april 2021,Bryggvägen 14,92,4,Fastighetsbyrån Hägersten/Älvsjö,3854,7650000
26 april 2021,Sockenvägen 425,95,4,Fastighetsbyrån Enskede,5935,7300000
26 april 2021,Annedalsvägen 30,"93,5",4,Bjurfors Bromma,4546,5400000
23 april 2021,"Årstavägen 10, 3tr",93,4,Tradition Fastighetsmäkleri AB,4672,6890000
22 april 2021,"Fatbursgatan 35, 1 tr",93,4,Notar,6294,8000000
