Date,Adress,Size,Rooms,Broker,Rent,Price,NearbyPOIs,Latitude,Longitude,PricePerKvm,PricePerRoom
20210512.0,Sockenvägen 609,91.0,4.0,BOSthlm Årsta,5158.0,5350000.0,31.0,59.28127667052236,18.12538146972656,58791.0,1337500.0
20210512.0,Götgatan 116,93.0,4.0,BOSTHLM Fastighetsmäklare AB,3968.0,7210000.0,873.0,59.30827407698463,18.073883056640625,77527.0,1802500.0
20210511.0,Sockenvägen 607,91.0,4.0,Svensk Fastighetsförmedling Farsta-Enskede,5159.0,5500000.0,31.0,59.28127667052236,18.12538146972656,60440.0,1375000.0
20210511.0,Svartviksslingan 23,90.5,4.0,MOHV Bromma,4890.0,6500000.0,108.0,59.340502640902535,17.9901123046875,71823.0,1625000.0
2021058.0,Hammarögatan 26,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446.0,4095000.0,1800.0,59.32915150430002,18.06255340576172,44032.0,1023750.0
2021055.0,Vantörsvägen 275,94.5,4.0,Fastighetsbyrån Hägersten/Älvsjö,4358.0,5050000.0,29.0,59.286186883200166,17.95440673828125,53439.0,1262500.0
2021055.0,Nybodaringen 105,95.0,4.0,Bjurfors Liljeholmen Hägersten,5032.0,7400000.0,188.0,59.30371757612586,18.02581787109375,77895.0,1850000.0
2021055.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3350000.0,1800.0,59.32915150430002,18.06255340576172,35638.0,837500.0
2021055.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3800000.0,1800.0,59.32915150430002,18.06255340576172,40426.0,950000.0
2021054.0,Odelbergsvägen 36,94.0,4.0,Svensk Fastighetsförmedling Hammarbyhöjden,6347.0,7280000.0,89.0,59.289343074505474,18.069076538085934,77447.0,1820000.0
2021054.0,Pilvingegatan 48,90.0,4.0,HusmanHagberg Enskede,5480.0,4250000.0,23.0,59.269348919391604,18.12744140625,47222.0,1062500.0
2021053.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3600000.0,1800.0,59.32915150430002,18.06255340576172,38298.0,900000.0
2021053.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3500000.0,1800.0,59.32915150430002,18.06255340576172,37234.0,875000.0
20210430.0,Lillhagsvägen 22,90.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,6259.0,2950000.0,21.0,59.267594485949715,18.012771606445312,32778.0,737500.0
20210430.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3500000.0,1800.0,59.32915150430002,18.06255340576172,37234.0,875000.0
